token	lemma	POS	morph	treated
que	que4	CONsub	MORPH=empty	que
mes	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	mes
fains	faim	NOMcom	NOMB.=s|GENRE=m|CAS=n	fains
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
estanchie	estanchier	VERppe	NOMB.=s|GENRE=f|CAS=n	estanchie
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
tot	tot	ADVgen	DEGRE=-	tot
maintenant	maintenant	ADVgen	DEGRE=-	maintenant
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
lieve	lever	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	lieve
,	,	PONfbl	MORPH=empty	,
A	a3	PRE	MORPH=empty	A
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=r	cui
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=n	ceste
famine	famine1	NOMcom	NOMB.=s|GENRE=f|CAS=n	famine
grieve	grever	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	grieve
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
si	si	ADVgen	DEGRE=-	si
ne	ne1	ADVneg	MORPH=empty	ne
sait	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	sait
que	que2	PROrel	NOMB.=s	que
faire	faire	VERinf	MORPH=empty	faire
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	puisse
,	,	PONfbl	MORPH=empty	,
Mais	mais1	CONcoo	MORPH=empty	Mais
que	que4	CONsub	MORPH=empty	que
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
braons	bräon	NOMcom	NOMB.=p|GENRE=m|CAS=r	braons
de	de	PRE	MORPH=empty	de
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
cuisse	cuisse	NOMcom	NOMB.=s|GENRE=f|CAS=r	cuisse
Pense	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Pense
qu'	que4	CONsub	GENRE=f	qu
a	a3	PRE	MORPH=empty	a
mangier	mangier	VERinf	MORPH=empty	mangier
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
donra	doner	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	donra
,	,	PONfbl	MORPH=empty	,
Tant	tant	ADVgen	DEGRE=-	Tant
que	que4	CONsub	MORPH=empty	que
mix	mieus	PROcar	NOMB.=s|GENRE=m|CAS=n	mix
faire	faire	VERinf	MORPH=empty	faire
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
porra	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	porra
.	.	PONfrt	MORPH=empty	.
S'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	S
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r	espee
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	tint
et	et	CONcoo	MORPH=empty	et
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prist
se	son4	CONsub	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
nage	nagier	NOMcom	NOMB.=s|GENRE=m|CAS=r	nage
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
de	de	PRE	MORPH=empty	de
fain	faim	NOMcom	NOMB.=s|GENRE=f|CAS=r	fain
esrage	esragier	VERcjg	MODE=ind|NOMB.=s|GENRE=m	esrage
,	,	PONfbl	MORPH=empty	,
Voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Voit
se	se	PROper	PERS.=3|GENRE=m|CAS=r	se
pitié	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=r	pitié
et	et	CONcoo	MORPH=empty	et
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f	se
francise	franchise	VERcjg	TEMPS=pst|NOMB.=s|GENRE=f|CAS=r	francise
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
en	en2	PROadv	MORPH=empty	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
grans	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	grans
pités	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=n	pités
prise	prendre	VERppe	NOMB.=s|GENRE=f|CAS=n	prise
.	.	PONfrt	MORPH=empty	.
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Fait
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Que	que4	CONcoo	MORPH=empty	Que
faire	faire	VERinf	MORPH=empty	faire
volés	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	volés
?	?	PONfrt	MORPH=empty	?
D'	de	PRE	MORPH=empty	D
autre	autre	PROind	NOMB.=s|GENRE=m|CAS=r	autre
mangier	mangier	NOMcom	NOMB.=s	mangier
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
soëlés	sëoir	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	soëlés
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
ja	ja	ADVgen	DEGRE=-	ja
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
Saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	Saint
-	-	PONfbl	MORPH=empty	-
Piere	Pierre	NOMpro	NOMB.=s|GENRE=m|CAS=r	Piere
de	de	PRE	MORPH=empty	de
Rome	Rome	NOMpro	NOMB.=s|GENRE=f|CAS=r	Rome
Que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r	Que
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
piet	pié	NOMcom	NOMB.=s|GENRE=m|CAS=r	piet
requiert	requerre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	requiert
a	a3	PRE	MORPH=empty	a
Rome	Rome	NOMpro	NOMB.=s|GENRE=f|CAS=r	Rome
,	,	PONfbl	MORPH=empty	,
Me	je	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	Me
chars	char1	NOMcom	NOMB.=s|GENRE=m|CAS=r	chars
ne	ne1	ADVneg	MORPH=empty	ne
mangera	mangier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	mangera
le	le	DETdef	NOMB.=s|GENRE=f|CAS=r	le
vostre	vostre	ADJpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	vostre
,	,	PONfbl	MORPH=empty	,
Foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	Foi
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	que
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	doi
sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	sainte
Patre	Patara	NOMpro	NOMB.=s|GENRE=f|CAS=r	Patre
Nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	Nostre
.	.	PONfrt	MORPH=empty	.
–	–	PONfbl	MORPH=empty	–
Hé	e2	INJ	MORPH=empty	Hé
!	!	PONfrt	MORPH=empty	!
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	Dame
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
ferés	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	ferés
,	,	PONfbl	MORPH=empty	,
fait	faire	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	fait
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
K'	que4	CONsub	GENRE=m	K
acater	achater	VERinf	MORPH=empty	acater
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
mort	morir	NOMcom	NOMB.=s|GENRE=m|CAS=r	mort
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r	fil
Et	et	CONcoo	MORPH=empty	Et
de	de	PRE	MORPH=empty	de
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
car	car	CONcoo	MORPH=empty	car
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
sanc	sanc	NOMcom	NOMB.=s|GENRE=m|CAS=r	sanc
:	:	PONfbl	MORPH=empty	:
Ja	ja	ADVgen	DEGRE=-	Ja
,	,	PONfbl	MORPH=empty	,
tant	tant	ADVgen	DEGRE=-	tant
que	que4	CONsub	MORPH=empty	que
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
batent	batre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	batent
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
flanc	flanc	NOMcom	NOMB.=p|GENRE=m|CAS=n	flanc
,	,	PONfbl	MORPH=empty	,
Que	que4	PROrel	NOMB.=p|GENRE=m|CAS=r	Que
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	j
aie	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	aie
la	là	ADVgen	MORPH=empty	la
car	car	CONcoo	MORPH=empty	car
sur	sor2	PRE	MORPH=empty	sur
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
os	os2	NOMcom	NOMB.=p|GENRE=m|CAS=r	os
,	,	PONfbl	MORPH=empty	,
Seürement	sëurement2	ADVgen	DEGRE=p	Seürement
dire	dire	VERinf	MORPH=empty	dire
vos	vos	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
os	oser	VERcjg	MODE=ind|NOMB.=p|GENRE=m|CAS=n	os
Ne	ne1	ADVneg	MORPH=empty	Ne
seront	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	seront
mi	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=n	mi
enfant	enfant	NOMcom	NOMB.=p|GENRE=m|CAS=n	enfant
mangié	mangier	VERppe	NOMB.=p|GENRE=m|CAS=n	mangié
,	,	PONfbl	MORPH=empty	,
Se	se	CONsub	MORPH=empty	Se
trestout	trestot	DETind	NOMB.=s|GENRE=m|CAS=r	trestout
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
sens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=n	sens
n'	ne1	ADVneg	MORPH=empty	n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
cangié	changier	NOMcom	NOMB.=s|GENRE=m|CAS=r	cangié
.	.	PONfrt	MORPH=empty	.
Mangiés	mangier	VERppe	MODE=imp|PERS.=2|NOMB.=s	Mangiés
de	de	PRE	MORPH=empty	de
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
car	car	CONcoo	MORPH=empty	car
a	a3	PRE	TEMPS=pst|PERS.=3	a
plenté	plenté	NOMcom	NOMB.=s|GENRE=f|CAS=r	plenté
,	,	PONfbl	MORPH=empty	,
Car	car	CONcoo	MORPH=empty	Car
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
redonra	redoner	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	redonra
santé	santé	NOMcom	NOMB.=s|GENRE=f|CAS=r	santé
;	;	PONfbl	MORPH=empty	;
Bien	bien1	ADVgen	DEGRE=p	Bien
porrai	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	porrai
garir	garir	VERinf	MORPH=empty	garir
de	de	PRE	MORPH=empty	de
me	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
plaie	plaie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	plaie
.	.	PONfrt	MORPH=empty	.
Mais	mais1	CONcoo	MORPH=empty	Mais
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	çou
de	de	PRE	MORPH=empty	de
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
enfant	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=r	enfant
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
esmaie	esmaiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	esmaie
Que	que4	CONsub	MORPH=empty	Que
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r	nul
recovrier	recovrier	NOMcom	NOMB.=s|GENRE=m|CAS=r	recovrier
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
aroit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	aroit
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
mau	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	mau
gré	gré2	NOMcom	NOMB.=s|GENRE=m|CAS=r	gré
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
en	en2	PROadv	MORPH=empty	en
saroit	savoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	saroit
Quant	cant1	CONsub	MORPH=empty	Quant
vos	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
enfans	enfant	NOMcom	NOMB.=p|GENRE=m|CAS=r	enfans
mangeriiés	mangier	VERcjg	MODE=con|PERS.=2|NOMB.=p	mangeriiés
,	,	PONfbl	MORPH=empty	,
Don	dont	PROrel	NOMB.=s|CAS=r	Don
pechié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r	pechié
mortel	mortel	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	mortel
feriiés	faire	VERcjg	MODE=con|PERS.=2|NOMB.=p	feriiés
.	.	PONfrt	MORPH=empty	.
–	–	PONfbl	MORPH=empty	–
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
,	,	PONfbl	MORPH=empty	,
or	or4	ADVgen	DEGRE=-	or
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
taisiés	taire	VERcjg	MODE=imp|PERS.=2|NOMB.=p	taisiés
,	,	PONfbl	MORPH=empty	,
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	Un
petitet	petitet	PROind	NOMB.=s|GENRE=m|CAS=r	petitet
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
rapaiiés	rapaiier	VERcjg	MODE=imp|PERS.=2|NOMB.=p	rapaiiés
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
,	,	PONfbl	MORPH=empty	,
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
mix	mieus	PROcar	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mix
que	que2	PROrel	GENRE=m|CAS=r	que
jou	je	PROper.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
porrai	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	porrai
,	,	PONfbl	MORPH=empty	,
M'	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	M
angoisse	angoissier	NOMcom	NOMB.=s|GENRE=f|CAS=r	angoisse
et	et	CONcoo	MORPH=empty	et
me	je	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	me
fain	fein	NOMcom	NOMB.=s|GENRE=f	fain
soufferrai	sofrir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	soufferrai
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
,	,	PONfbl	MORPH=empty	,
alés	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	alés
querre	querre	VERinf	MORPH=empty	querre
et	et	CONcoo	MORPH=empty	et
rover	rover	VERinf	MORPH=empty	rover
Se	se	CONsub	MORPH=empty	Se
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r	nule
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r	gent
porrés	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	porrés
trover	trover	VERinf	MORPH=empty	trover
Qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	Qui
por	por2	PRE	MORPH=empty	por
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Dieu
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
vausist	valoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	vausist
bien	bien1	ADVgen	DEGRE=p	bien
faire	faire	VERinf	MORPH=empty	faire
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
metés	metre2	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	metés
tost	tost1	ADVgen	DEGRE=p	tost
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
repaire	repaire	NOMcom	NOMB.=s|CAS=r	repaire
.	.	PONfrt	MORPH=empty	.
–	–	PONfbl	MORPH=empty	–
Volentiers	volentiers	ADVgen	DEGRE=p	Volentiers
,	,	PONfbl	MORPH=empty	,
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
,	,	PONfbl	MORPH=empty	,
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
,	,	PONfbl	MORPH=empty	,
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	Je
ne	ne1	ADVneg	MORPH=empty	ne
porrai	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	porrai
venir	venir	VERinf	MORPH=empty	venir
ançois	ainçois	ADVgen	DEGRE=-	ançois
Que	que4	CONsub	MORPH=empty	Que
jou	je	PROper.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
venrai	venir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	venrai
,	,	PONfbl	MORPH=empty	,
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
promet	prometre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	promet
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
Tantost	tantost	ADVgen	DEGRE=-	Tantost
a	a3	PRE	NOMB.=s	a
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	voie
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
Et	et	CONcoo	MORPH=empty	Et
prie	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prie
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Dieu
que	que2	CONsub	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
.	.	PONfrt	MORPH=empty	.
Vers	vers2	PRE	MORPH=empty	Vers
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r	mer
esgarde	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	esgarde
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	voit
Marceans	Marcel	NOMpro	NOMB.=s|GENRE=m|CAS=n	Marceans
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
port	port2	NOMcom	NOMB.=s|GENRE=m|CAS=r	port
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	estoient
.	.	PONfrt	MORPH=empty	.
De	de	PRE	MORPH=empty	De
lor	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lor
avoir	avoir	VERinf	NOMB.=s|GENRE=m|CAS=r	avoir
que	que2	CONsub	NOMB.=s|GENRE=m|CAS=r	que
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
portoient	porter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	portoient
Cargoient	chargier	NOMpro	MODE=ind|PERS.=3|NOMB.=p	Cargoient
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
nef	nef2	NOMcom	NOMB.=s|GENRE=f|CAS=r	nef
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
port	port2	NOMcom	NOMB.=s|GENRE=m|CAS=r	port
A	a3	PRE	MORPH=empty	A
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
et	et	CONcoo	MORPH=empty	et
a	a3	PRE	MORPH=empty	a
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
déport	deport	NOMcom	NOMB.=s|GENRE=m|CAS=r	déport
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
ja	ja	ADVgen	DEGRE=-	ja
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
pres	près	ADVgen	DEGRE=-	pres
atornee	atorner	VERppe	NOMB.=s|GENRE=f|CAS=n	atornee
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
nef	nef2	NOMcom	NOMB.=s|GENRE=f|CAS=n	nef
,	,	PONfbl	MORPH=empty	,
por	por2	PRE	MORPH=empty	por
faire	faire	VERinf	MORPH=empty	faire
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
jornee	jornee	NOMcom	NOMB.=s|GENRE=f|CAS=r	jornee
,	,	PONfbl	MORPH=empty	,
Quant	cant1	CONsub	MORPH=empty	Quant
a	a3	PRE	MORPH=empty	a
aus	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	aus
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n	venus
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
si	si	ADVgen	DEGRE=-	si
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
povres	povre	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	povres
et	et	CONcoo	MORPH=empty	et
nus	nu1	PROind	NOMB.=s|GENRE=m|CAS=n	nus
Qu'	que4	CONsub	MORPH=empty	Qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
sambloit	sembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	sambloit
fors	fors1	ADVgen	DEGRE=-	fors
que	que1	CONsub	MORPH=empty	que
truant	trüant	VERppa	NOMB.=s|GENRE=m|CAS=r	truant
.	.	PONfrt	MORPH=empty	.
Por	por2	PRE	MORPH=empty	Por
Dieu	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Dieu
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	lor
prie	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prie
en	en1	PRE	MORPH=empty	en
saluant	salüer	VERppa	MORPH=empty	saluant
Que	que4	CONsub	MORPH=empty	Que
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
escoutent	escouter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	escoutent
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
petit	petit	PROind	NOMB.=s|GENRE=m|CAS=r	petit
,	,	PONfbl	MORPH=empty	,
Tant	tant	ADVgen	DEGRE=-	Tant
que	que4	CONsub	MORPH=empty	que
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	son
besoing	besoing	NOMcom	NOMB.=s|GENRE=m|CAS=n	besoing
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	lor
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ait
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r	dit
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Signor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	Signor
,	,	PONfbl	MORPH=empty	,
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	as
marceans	marchëant	NOMcom	NOMB.=p|GENRE=m|CAS=r	marceans
,	,	PONfbl	MORPH=empty	,
Que	que4	PROrel	NOMB.=p|GENRE=m|CAS=r	Que
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
