token	lemma	POS	morph	treated
oïssiez	öir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p	oïssiez
ja	ja	ADVgen	DEGRE=-	ja
tex	tel	DETind	NOMB.=p|GENRE=f|CAS=r	tex
noveles	novele	NOMcom	NOMB.=p|GENRE=f|CAS=r	noveles
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n	qui
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
enuiassent	enoiier	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p	enuiassent
mout	mout	ADVgen	DEGRE=p	mout
fort	fort	ADJqua	DEGRE=p	fort
,	,	PONfbl	MORPH=empty	,
se	se	CONsub	MORPH=empty	se
ne	ne1	ADVneg	MORPH=empty	ne
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
que	que4	PROrel	NOMB.=s|GENRE=n	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
port	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	port
conpaignie	compagnie	NOMcom	NOMB.=s|GENRE=f|CAS=r	conpaignie
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
condui	conduire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	condui
.	.	PONfrt	MORPH=empty	.
